product,date,demand,inventory,lead_time_days
C,2025-04-11,19,81,2.0
A,2025-04-12,24,3,2.0
C,2025-04-13,29,184,1.0
A,2025-04-14,13,8,1.0
C,2025-04-15,25,186,1.0
B,2025-04-16,12,34,2.0
B,2025-04-17,19,105,2.0
A,2025-04-18,21,25,2.0
B,2025-04-19,18,48,
A,2025-04-20,18,1,
B,2025-04-21,20,45,1.0
C,2025-04-22,12,13,1.0
A,2025-04-23,27,35,2.0
A,2025-04-24,23,23,1.0
C,2025-04-25,26,86,2.0
A,2025-04-26,18,82,
A,2025-04-27,21,143,
A,2025-04-28,18,50,1.0
B,2025-04-29,22,1,3.0
B,2025-04-30,20,6,
B,2025-05-01,17,141,1.0
A,2025-05-02,23,38,2.0
C,2025-05-03,27,59,2.0
A,2025-05-04,23,150,1.0
C,2025-05-05,22,69,3.0
C,2025-05-06,20,58,3.0
A,2025-05-07,26,199,3.0
A,2025-05-08,24,111,2.0
B,2025-05-09,12,33,1.0
A,2025-05-10,15,89,2.0
B,2025-05-11,21,149,2.0
B,2025-05-12,21,114,2.0
B,2025-05-13,21,75,3.0
C,2025-05-14,24,128,2.0
C,2025-05-15,25,172,3.0
A,2025-05-16,19,45,2.0
B,2025-05-17,12,159,
C,2025-05-18,20,106,3.0
C,2025-05-19,20,35,1.0
C,2025-05-20,17,73,1.0
B,2025-05-21,25,-3,2.0
B,2025-05-22,22,137,3.0
B,2025-05-23,24,197,1.0
B,2025-05-24,21,30,
A,2025-05-25,20,198,2.0
B,2025-05-26,25,116,2.0
A,2025-05-27,21,45,3.0
B,2025-05-28,17,132,1.0
C,2025-05-29,15,46,
C,2025-05-30,20,98,
C,2025-05-31,16,153,3.0
A,2025-06-01,17,7,2.0
A,2025-06-02,19,159,3.0
B,2025-06-03,18,7,2.0
C,2025-06-04,11,84,1.0
A,2025-06-05,16,42,3.0
C,2025-06-06,20,145,2.0
A,2025-06-07,17,82,1.0
B,2025-06-08,13,190,1.0
A,2025-06-09,22,133,2.0
C,2025-06-10,21,159,1.0
C,2025-06-11,20,119,1.0
B,2025-06-12,20,86,2.0
C,2025-06-13,21,38,1.0
B,2025-06-14,20,172,3.0
C,2025-06-15,27,168,3.0
A,2025-06-16,23,61,1.0
A,2025-06-17,15,198,3.0
A,2025-06-18,19,7,
B,2025-06-19,17,122,
C,2025-06-20,19,-4,3.0
C,2025-06-21,23,61,2.0
C,2025-06-22,26,157,1.0
A,2025-06-23,23,185,
C,2025-06-24,14,46,3.0
A,2025-06-25,19,0,1.0
B,2025-06-26,22,78,3.0
B,2025-06-27,20,154,1.0
B,2025-06-28,13,137,
B,2025-06-29,25,-3,1.0
B,2025-06-30,23,-1,1.0
A,2025-07-01,18,33,3.0
C,2025-07-02,18,100,1.0
C,2025-07-03,19,141,2.0
B,2025-07-04,20,19,1.0
B,2025-07-05,22,92,1.0
A,2025-07-06,26,20,2.0
B,2025-07-07,18,9,2.0
C,2025-07-08,15,111,2.0
C,2025-07-09,23,166,
C,2025-07-10,21,144,3.0
A,2025-07-11,25,19,2.0
A,2025-07-12,25,69,3.0
C,2025-07-13,10,21,3.0
A,2025-07-14,17,38,1.0
A,2025-07-15,22,37,3.0
B,2025-07-16,24,91,3.0
A,2025-07-17,19,74,3.0
C,2025-07-18,18,78,1.0
A,2025-07-19,19,182,
B,2025-07-20,21,96,1.0
B,2025-07-21,21,161,1.0
A,2025-07-22,21,186,1.0
B,2025-07-23,17,134,3.0
A,2025-07-24,27,125,2.0
C,2025-07-25,24,196,1.0
B,2025-07-26,27,14,2.0
A,2025-07-27,23,89,1.0
C,2025-07-28,20,20,3.0
C,2025-07-29,19,166,3.0
A,2025-07-30,25,1,3.0
B,2025-07-31,23,73,1.0
A,2025-08-01,18,119,2.0
B,2025-08-02,24,176,1.0
B,2025-08-03,21,153,3.0
A,2025-08-04,28,1,3.0
A,2025-08-05,20,95,3.0
B,2025-08-06,18,194,3.0
A,2025-08-07,25,78,2.0
C,2025-08-08,34,2,
C,2025-08-09,21,177,1.0
C,2025-08-10,25,88,3.0
C,2025-08-11,19,1,2.0
C,2025-08-12,18,113,3.0
B,2025-08-13,23,193,3.0
B,2025-08-14,19,9,2.0
A,2025-08-15,21,126,1.0
A,2025-08-16,19,124,3.0
A,2025-08-17,20,164,2.0
C,2025-08-18,23,105,2.0
B,2025-08-19,26,152,3.0
C,2025-08-20,15,178,3.0
B,2025-08-21,18,176,1.0
B,2025-08-22,24,46,2.0
B,2025-08-23,29,16,1.0
C,2025-08-24,14,105,2.0
B,2025-08-25,24,60,2.0
B,2025-08-26,20,190,3.0
B,2025-08-27,26,117,
C,2025-08-28,14,100,2.0
C,2025-08-29,19,55,
B,2025-08-30,18,24,1.0
B,2025-08-31,21,116,3.0
A,2025-09-01,19,197,3.0
B,2025-09-02,26,179,2.0
A,2025-09-03,24,47,1.0
B,2025-09-04,20,133,2.0
A,2025-09-05,13,74,3.0
B,2025-09-06,13,7,2.0
B,2025-09-07,16,168,1.0
B,2025-09-08,20,20,2.0
B,2025-09-09,23,94,
A,2025-09-10,17,194,3.0
A,2025-09-11,18,68,3.0
B,2025-09-12,16,9,1.0
C,2025-09-13,16,189,1.0
B,2025-09-14,21,167,2.0
B,2025-09-15,18,137,2.0
B,2025-09-16,22,197,3.0
C,2025-09-17,21,26,3.0
B,2025-09-18,20,28,2.0
B,2025-09-19,18,67,2.0
B,2025-09-20,25,139,3.0
B,2025-09-21,21,174,2.0
C,2025-09-22,24,160,1.0
A,2025-09-23,19,50,2.0
B,2025-09-24,15,190,2.0
A,2025-09-25,18,114,2.0
C,2025-09-26,12,167,2.0
